ID;UM_NAMES
945;6-й Новоостанкинский пр.
946;7-й Новоостанкинский пр.
947;Новоорловская ул.
948;Новоостаповская ул.
949;Новопеределкинская ул.
950;М. Новопесковский пер.
951;Новопетровская ул.
952;Новопетровский пр.
953;1-й Новоподмосковный пер.
954;2-й Новоподмосковный пер.
955;3-й Новоподмосковный пер.
956;4-й Новоподмосковный пер.
957;5-й Новоподмосковный пер.
958;6-й Новоподмосковный пер.
959;8-й Новоподмосковный пер.
960;Новопоселковая ул.
961;Новопотаповский пр.
962;Новопресненский пер.
963;Новорогожская ул.
964;Новороссийская ул.
965;Новорублёвская ул.
966;2-я Новорублёвская ул.
967;Новорязанская ул.
968;Новорязанское ш.
969;Новоселенский пер.
970;1-я ул. Новосёлки
971;2-я ул. Новосёлки
972;3-я ул. Новосёлки
973;4-я ул. Новосёлки
974;Новосибирская ул.
975;Новослободская ул.
976;Новоспасский пер.
977;Верх. Новоспасский пр.
978;Новоспасский пр.
979;Новосущёвская ул.
980;Новосущёвский пер.
981;Новосходненское ш.
982;ул. Новотетёрки
983;Новотихвинская ул.
984;1-й Новотихвинский пер.
985;Новотушинская ул.
986;Новотушинский пр.
987;Новоухтомское ш.
988;Новоухтомская ул.
989;Новофилёвский пр.
990;Новохорошёвский пр.
991;Новохохловская ул.
992;Новоцарицынское ш.
993;Новочерёмушкинская ул.
994;Новочеркасский бульв.
995;Новощукинская ул.
996;Новоясеневский просп.
997;Новый пр.
998;ул. Н. Арбат
999;1-й Новый пер.
1000;2-й Новый пер.
1001;3-й Новый пер.
1002;Ножовый пер.
1003;Норильская ул.
1004;Носовихинское ш.
1005;Обводное ш.
1006;Оболенский пер.
1007;Оборонная ул.
1008;ул. Образцова
1009;ул. Обручева
1010;ул. Воронцово Поле
1011;пер. Обуха
1012;2-й Обыденский пер.
1013;3-й Обыденский пер.
1014;Овражная ул.
1015;Овчинниковская наб.
1016;Б. Овчинниковский пер.
1017;Ср. Овчинниковский пер.
1018;Газетный пер.
1019;Огородный пр.
1020;Одесская ул.
1021;Одинцовская ул.
1022;пр. Одоевского
1023;Озерковская наб.
1024;Озерковский пер.
1025;Озёрная аллея
1026;Озёрная пл.
1027;Озёрная ул.
1028;Окружная ул.
1029;Окружной пр.
1030;Окская ул.
1031;Калужская пл.
1032;Октябрьская ул.
1033;Октябрьская ул.
1034;Октябрьская ул.
1035;Октябрьский пер.
1036;ул. Линии Октябрьской Железной Дороги
1037;ул. Олений Вал
1038;М. Олений пер.
1039;Олений пр.
1040;Б. Оленья ул.
1041;М. Оленья ул.
1042;Олимпийский просп.
1043;пр. Олимпийской Деревни
1044;Олонецкая ул.
1045;Олонецкий пр.
1046;Олсуфьевский пер.
1047;пр. Ольминского
1048;Ольховская ул.
1049;Ольховский пер.
1050;Ольховский туп.
1051;1-й Ольховский туп.
1052;Онежская ул.
1053;ул. Академика Опарина
1054;Оранжерейная ул.
1055;ул. Орджоникидзе
1056;ул. Б. Ордынка
1057;Ордынский туп.
1058;Оренбургская ул.
1059;Ореховый пр.
1060;Орехово-Зуевский пр.
1061;Ореховый бульв.
1062;Орликов пер.
1063;ул. Комдива Орлова
1064;пер. Орлово-Давыдовский
1065;Орловский пер.
1066;Оружейный пер.
1067;Оршанская ул.
1068;Осенняя ул.
1069;Садовническая ул.
1070;ул. Осипенко
1071;ул. Осипенко
1072;Ослябинский пер.
1073;Останкинский пр.
1074;1-я Останкинская ул.
1075;2-я Останкинская ул.
1076;3-й Останкинский пер.
1077;6-й Останкинский пер.
1078;5-й Останкинский пер.
1079;Остаповский пр.
1080;Остафьевская ул.
1081;Осташковская ул.
1082;Осташковский пр.
1083;ул. Остоженка
1084;ул. Островитянова
1085;Островная ул.
1086;Островной пр.
1087;ул. М. Ордынка
1088;Пречистенский пер.
1089;Б. Остроумовская ул.
1090;М. Остроумовская ул.
1091;ул. Острякова
1092;Б. Козихинский пер.
1093;Открытое ш.
1094;Отрадная ул.
1095;Отрадный пр.
